Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
MMPB,America/Mexico_City,1980-02-07,39.20,66.20,33.80,42.80,0.00,2.30,,SE,9.00,12.43,,,,,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-08,41.00,41.00,35.60,35.60,0.00,0.00,,,6.21,7.00,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-09,42.80,68.00,39.20,51.80,0.00,0.00,,,6.21,12.43,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-10,68.00,69.80,50.00,53.60,2.24,3.45,,S,10.00,15.53,,,,,NCD,no cloud detected,FEW,mostly clear,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-11,66.20,69.80,48.20,51.80,2.24,2.30,,SE,10.00,12.43,,,,,CLR,clear,ICC03,three oktas - 4/10,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-12,51.80,68.00,46.40,48.20,0.00,2.30,,SE,6.21,12.43,,,,,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-13,46.40,69.80,42.80,50.00,0.00,2.30,,SE,6.21,12.43,,,,,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-14,48.20,77.00,42.80,48.20,0.00,5.82,,W,6.21,12.43,,,,,NCD,no cloud detected,ICC01,one okta - 1/10 or less but not zero,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-15,75.20,75.20,53.60,64.40,0.00,4.70,,SW,13.05,15.53,,,,,NCD,no cloud detected,CLR,clear,MIFG,shallow fog,IWC12,shallow fog,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-16,42.80,77.00,33.80,50.00,0.00,2.30,,S,6.21,12.43,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-17,64.40,64.40,53.60,53.60,2.24,2.30,,SE,9.00,9.32,,,,,BKN,mostly cloudy,BKN,mostly cloudy,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-18,69.80,69.80,53.60,53.60,2.24,2.30,,SE,6.21,9.32,,,,,NCD,no cloud detected,ICC01,one okta - 1/10 or less but not zero,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-19,46.40,71.60,42.80,53.60,0.00,2.30,,SE,6.21,7.00,,,,,NCD,no cloud detected,ICC01,one okta - 1/10 or less but not zero,IWC06,dust,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-20,48.20,75.20,44.60,59.00,0.00,6.93,,SW,6.21,12.43,,,,,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
